id_recipe,name_recipe,portions,calories,protein,fat,carbo,text_recipe,vegeterian
52,Американские блины,10,208,6,8.0,29.0,"Яйца взбить с сахаром и солью до появления пены. Добавить стакан молока, хорошо взбить венчиком, постепенно всыпать муку, постоянно разбивая комочки венчиком. Повторить предыдущий пункт, добавив оставшиеся стаканы молока и муки. Влить растительное масло (можно заменить топленым сливочным). Погасить соду, добавить в тесто и еще раз хорошо перемешать. Оставить постоять минут 5–10. За это время разогреть сковороду. Жарить на умеренном огне. Как только появятся и начнут лопаться пузырьки, перевернуть оладушек и жарить еще секунд 20.",False
53,Картофель «Айдахо»,3,978,10,85.0,46.0,"Картофель хорошо промыть (очищать не надо), нарезать вдоль на восемь долек, положить в кастрюлю с холодной подсоленной водой. Довести до кипения и варить 2–3 минуты. Слить воду и поставить картофель остывать. Смешать оливковое масло с мелко порезанной зеленью, соусом и продавленным через чеснокодавилку чесноком. Выложить картофель на противень в один слой, предварительно обмакнув дольки в получившуюся смесь. Запекать в духовке 15–20 минут при температуре 200 градусов.",False
54,Американские панкейки с корицей,4,366,15,9.0,56.0,"Отделить белки от желтков. Белки убрать в холодильник, а желтки выложить в глубокую и широкую миску, добавить к ним сахар, пару щепоток моло- той корицы и растереть до однородной массы. Влить небольшой струйкой в миску полный стакан молока и смешать с яично-сахарной смесью венчиком, стараясь при этом не взбивать жидкость до образования пены. Аккуратно всыпать в яично-молочную смесь просеянную муку, не переставая помешивать венчиком. Добавить соду, гашенную уксусом. Осторожно перемешать. Вымесить венчиком однородное густое тесто, по возможности максимально разбивая образовавшиеся комочки. По консистенции масса должна напоминать густую сметану. В охлажденные белки добавить щепотку соли и взбить венчиком в крутую пену. Если под рукой есть миксер, то лучше воспользоваться им — на высоких оборотах весь процесс займет не больше минуты. Бережно, силиконовой лопаткой или деревянной ложкой, постепенно вмешать взбитые белки в тесто, стараясь не повредить их хрупкую текстуру. Широкую сковороду с антипригарным покрытием смазать половиной чайной ложки сливочного масла и разогреть на умеренном огне. Вылить на сковороду два полных половника теста — один половник на один блинчик. Печь примерно полторы минуты, затем перевернуть и подрумянить с другой стороны. Переложить на блюдо, а на сковороду вылить следующую порцию теста. Добавлять в сковороду масло при этом больше не нужно: все остальные блинчики должны не жариться, а печься на слабом огне до приобретения легкого равномерного румянца. Готовые панкейки выложить на блюдо, смазать оставшимся сливочным маслом и сразу подавать.",False
55,Домашний рататуй,4,191,4,13.0,16.0,"Нарезать мелкими кубиками лук и баклажаны. Баклажаны посыпать солью и дать им полежать несколько минут, чтобы пустили сок. За это время очистить перцы и помидоры от внутренностей, а мякоть нарезать такими же мелкими кубиками, как до того баклажаны и лук. Чеснок и петрушку мелко нарубить. Разогреть в сковородке часть оливкового масла, обжарить до мягкости лук и откинуть его на дуршлаг. Добавить в сковороду немного масла, обжарить на нем до мягкости предварительно отжатые от лишней жидкости кубики баклажанов. Обжаренные баклажаны откинуть на дуршлаг. Теперь осталось обжарить все на том же масле кубики перца и тоже откинуть их на дуршлаг. Долить в сковороду оставшееся масло, обжарить чеснок до мягкости, тут же добавить томатную пасту и щепотку сахара, а потом сразу помидоры. Тушить тридцать секунд, после ­чего вмешать все ранее обжаренные овощи и рубленую ­петрушку, посолить, поперчить, потомить минуту — и снять с огня.",False
56,Крем-суп из тыквы,6,343,10,22.0,25.0,"Мелко нарубить красный лук и чеснок и обжарить в глубоком сотейнике на сливочном масле. Сначала лук, а когда он станет мягким — чеснок. Чеснок жарится только до появления сильного аромата — не дольше. Пережаренный чеснок — горчит. Дальше нужно высыпать в сотейник нарезанную мелкими кубиками мякоть тыквы и обжарить ее вместе с луком и чесноком, следя за тем, чтобы ничего не подгорело и постоянно помешивая всю компанию. Как только тыква немного размягчится, что легко определить простым нажатием ложки, влить на сковороду бренди и жарить еще минут пять, пока алкоголь не выпарится. Затем нужно залить содержимое сотейника куриным бульоном, добавить перец, соль, сахар и еще 5–7 минут поварить. Получившуюся кашу разбить в блендере вместе с нежирными сливками, петрушкой (предварительно нарезав ее).Подавать с обжаренными на сухой сковороде очищенными тыквенными семечками.",False
57,Пирог с капустой,6,840,16,51.0,79.0,"Просеянную муку смешать с половиной столовой ложки соли, сахаром и дрожжами. Руками смешать результат с 250 граммами сливочного масла комнатной температуры до состояния, напоминающего хлебную крошку или крупный песок. Добавить 250 мл молока и замесить тесто. Оставить его на сорок минут в тепле, чтобы оно поднялось. Тем временем тонко нашинковать капусту, перемешать ее со столовой ложкой соли, залить кипятком, дать минут десять постоять, слить воду, отжать всю жидкость, которая останется в недрах капусты. И в глубокой сковороде потушить капусту на смеси оливкового и сливочного масла. Сливочного масла нужно немного — граммов двадцать. Тушить на сильном огне десять минут, после чего добавить полстакана молока, убрать огонь до слабого. И тушить еще минут двадцать, постоянно помешивая и подсаливая по вкусу. После чего снять с огня и дать подостыть. Параллельно нужно сварить вкрутую два куриных яйца. Поднявшееся тесто (по рыхлой, воздушной текстуре оно должно напоминать тесто для пышек) раскатать в тонкие пласты, не забывая употреблять для этого не только скалку, но и достаточное количество муки. На противень выложить тонкий пласт теста и поверх него равномерно распределить тушеную капусту и нарубленные крутые яйца. Сверху накрыть другим пластом и скрепить края теста. Проделать в пироге вилкой или ножом дюжину дырок, чтобы пирог мог дышать. И отправить его в духовку, разогретую до 180 градусов, на полчаса до образования румяной корочки. Перед отправкой можно смазать поверхность взбитым сырым яйцом.",False
58,Морковные кексы с имбирем и корицей,12,274,4,14.0,34.0,"Натереть морковь (4 штуки среднего размера) на крупной терке. Смешать муку, пекарский порошок, соду, соль, корицу, имбирь и мускатный орех. Взбить миксером на высокой скорости вместе масло, яйца и коричневый сахар. Добавить в кремообразную массу тертую морковь и ваниль и перемешать миксером до однородной консистенции. Затем частями всыпать мучную смесь и миксером на медленной скорости довести до состояния теста. В формы для выпечки кексов вставить вкладыши из пергаментной бумаги и выложить в них тесто. Выпекать в духовке, разогретой до 190 градусов, примерно 20-25 минут. После духовки готовые кексы на 10 минут оставить остужаться в формах, а затем извлечь вместе с бумагой и дать остыть не меньше 1 часа. Перед подачей на стол посыпать сахарной пудрой.",False
59,Суп харчо,4,314,22,13.0,29.0,"Очищаем мясо от костей. В кастрюлю наливаем 2–2,5 литра холодной воды, закладываем мясо и косточки и ставим на огонь. Когда вода закипит, тщательно снимаем пену и уменьшаем огонь так, чтобы вода слегка побулькивала. Оставляем варить на час–полтора. За полчаса до окончания варки в бульон можно добавить корень петрушки или сельдерея и посолить по вкусу. Тем временем, мелко режем лук и обжариваем его в растительном масле на медленном огне, чтобы лук оставался мягким. Как только лук начнет приобретать золотистый цвет, добавляем к нему мясо из бульона и жарим минут 5. Затем добавляем пару столовых ложек бульона и тушим под закрытой крышкой минут 15. Пока мясо и лук тушатся, подготавливаем помидоры. Содержимое сковороды отправляем в бульон, который снова уже на плите и собирается закипеть. Добавить в содержимое кастрюли рис и продолжать варить. Даем нашему еще не законченному супу 5 минут покипеть, уменьшаем огонь до среднего и добавляем специи. На самом последнем этапе приготовления добавляем толченый чеснок и мелко рубленную зелень (укроп, петрушку и кинзу). Даем час супу настояться под крышкой и можно подавать на стол.",False
60,Томатный суп из морепродуктов,5,132,13,4.0,11.0,"Замороженных гадов выложить в глубокую миску и залить кипятком. Оставить на пять-семь минут, затем откинуть на дуршлаг и обсушить. Переложить в кастрюлю, залить 500 мл воды и поставить на средний огонь. Тем временем в сковороде разогреть столовую ложку растительного масла и поджарить на нем измельченные лук и чеснок до золотистого цвета. Получившуюся поджарку добавить в кастрюлю с гадами. Помидор и сладкий болгарский перец нарезать небольшими кубиками. Кинуть в ту же сковороду, где готовились лук и чеснок, и быстро поджарить, постоянно помешивая, в течение пары минут, не дольше. Добавить поджаренные овощи в кастрюлю. Перемешать суп, довести до кипения. Слегка посолить и бросить несколько горошин черного перца. Влить томатный сок. Добавить шафран, смесь прованских трав (в хорошую прованскую смесь входят базилик, орегано, розмарин, чабер и тимьян) и сушеный базилик. Снова довести суп до кипения. Выжать в кастрюлю примерно столовую ложку лимонного сока. Помешать и дать супу покипеть еще минут пять-семь. Тем временем в небольшой миске взбить яйца. Тоненькой струйкой влить в кипящий суп взбитые яйца, непрерывно помешивая жидкость ложкой. Снять кастрюлю с огня, накрыть крышкой и оставить на пять минут. Готовый суп слегка остудить и разлить по тарелкам. Каждую порцию супа можно дополнительно посыпать черным молотым перцем и сбрызнуть лимонным соком.",False
61,Банановые панкейки,3,304,8,10.0,47.0,"Смешать муку, сахар, разрыхлитель, соду и соль. Банан пюрировать. Желток взбить, добавить молоко, банан и растопленное масло, взбивать 1 минуту. Мучную смесь смешать с жидкой и перемешать венчиком или миксером. Белки хорошо взбить и аккуратно добавить в тесто. Жарить на сухой сковородке с одной стороны до появления пузырьков потом перевернуть. *из этого количества продуктов получается 9 блинчиков",False
62,Оладьи на кефире,4,368,11,3.0,74.0,"Кефир смешать с сахаром, солью и содой. Постепенно вмешать муку так, чтобы получилось тесто консистенции густой сметаны. Разогреть сковороду. Если она не антипригарная, добавить масло: сливочное, растительное или их смесь. Выложить тесто столовой ложкой на раскаленную сковороду, жарить около полутора минут, на поверхности теста должны появиться пузырьки, а внизу тесто должно зазолотиться. Перевернуть оладьи и жарить их еще около минуты, до такого же золотистого цвета. Так же поступить со всем тестом. Подавать оладьи со сметаной и любимым вареньем.",False
63,Торт «Сметанник»,8,438,7,27.0,41.0,"Сливочное масло комнатной температуры взбейте с яйцами. Добавьте сгущенное молоко и взбейте. Просейте муку, погасите соду уксусом и добавьте в тесто, тщательно перемешайте. Готовое тесто разделите на 2 части, в одну часть добавьте какао, перемешайте. Духовку разогрейте до 180 градусов. Формы смажьте маслом, испеките 2 коржа до готовности (около 20 минут). Приготовьте крем для торта: сметану с сахаром слегка взбейте. Готовые коржи разрежьте на 2 части и срежьте боковые части. Все коржи сметанника, кроме нижнего, проколите вилкой, чтобы лучше впитывали в себя крем. Промажьте все коржи кремом и выложите в виде торта. Обмажьте кремом и боковые части торта. Обрезки коржей измельчите в крошку и посыпьте ими сметанник. Торт поставьте в холодильник пропитываться на ночь.",False
64,Суп вишисуаз,6,293,8,18.0,26.0,"Растопить сливочное масло в глубокой кастрюле, добавить мелко нарубленный репчатый лук и обжарить до мягкости. Добавить мелко нарубленный лук-порей и обжаривать до мягкости теперь уже порея. После чего очищенный картофель, нарезанный мелкими кубиками, и бульон. Довести до кипения, посолить, поперчить и варить на медленном огне полчаса. Готовый суп взбить в блендере вместе с холодными сливками до нежного пюреобразного состояния. Для пущей нежности можно протереть суп через мелкое сито. Охладить и подавать, посыпав мелко нарубленным зеленым луком. Во французской традиции вишисуаз часто подают с салатом из слегка обжаренных с чесноком креветок и мелко нарубленного фенхеля, смешанного с лимонным соком и оливковым маслом. Еще один вариант гарнира — нарубленные мелкими кубиками огурцы с зеленым луком и сметаной. Огурцы для такого салата лучше предварительно очистить от кожицы, чтобы их нежная, беззащитная текстура сливалась с кремовой текстурой супа.",False
65,Томатный магрибский суп,6,164,6,10.0,14.0,"Мелко нарубленный лук обжарить в глубоком сотейнике на оливковом масле с тертым имбирем, молотой корицей, семенами тмина (или зиры). Обжаривать до сильного запаха жареного лука и специй, но не пережечь. Угля не нужно. Помидоры мелко нарезать (можно избавиться предварительно от кожицы и семян, но это для слишком деликатных поваров) и добавить к луку. Туда же влить куриный бульон, заправить содержимое сотейника медом, одной чайной ложкой рубленой петрушки, одной чайной ложкой рубленой кинзы, посолить, поперчить, ­довести все это до кипения, убавить огонь и томить едва булькающую гущу несколько минут, время от времени помешивая. Снять суп и охладить его в раковине, наполненной водой и льдом. После чего влить в суп столовую ложку лимонного сока, бросить остатки нарубленных петрушки и кинзы, перемешать и разлить по тарелкам, положив в каждую тонкий ломтик лимона или лайма.",False
66,Гуакамоле,4,342,4,30.0,18.0,"Помидоры очистить и мелко нарезать. Чили избавить от семян и измельчить вместе с луком, чесноком и кинзой. В большой ступке пестиком превратить чили, кинзу, помидоры и цедру лайма и лук в однородную пасту. Слегка посолить и снова перемешать. Добавить одну-две столовые ложки воды и сок лайма, чтобы смесь стала более жидкой. Очистить авокадо, удалить косточки, нарезать мякоть небольшими кубиками. Добавить к пасте из чили и помидоров и тщательно все размять. Подавать с кукурузными чипсами.",False
67,Медовик,8,472,8,18.0,72.0,"На плиту поставить сотейник с водой, дать хорошенько нагреться. Сверху установить плошку с медом, подождать, пока он станет жидким, добавить кусочки масла. Размешать смесь венчиком до растворения масла и оставить на плите на маленьком огне. Тем временем на большой скорости начать взбивать сахар и яйца: на это уйдет примерно восемь минут, в результате должен получиться крепкий белый крем. Муку смешать с содой и просеять через сито: так коржи получатся более легкими. Медовая смесь к этому времени должна приобрести коричневый оттенок. Снять ее с огня, ввести яичную смесь и перемешать венчиком, делая движения сверху вниз. Добавить муку и снова перемешать, но уже снизу вверх. Для торта понадобятся шесть коржей диаметром 20 см, толщиной 2 мм каждый. На производстве пользуются вот такими металлическими кольцами, но дома коржи можно отсадить на глаз. Часть теста останется: его нужно испечь единым коржом — он пойдет на медовую крошку для украшения. В «Азбуке вкуса» используют огромные конвектоматы, похожие на холодильники. Домашнюю же духовку нужно разогреть до максимально возможной температуры и поставить коржи печься на три–четыре минуты: они должны стать цвета гречишного меда и остаться мягкими. Когда они готовы, поставить их в холодильник остывать. Сделать сметанный крем: сахарную пудру и сметану размешать венчиком до однородной массы. Сложить торт: первый корж выложить запеченной стороной вверх, промазать кремом, а следующие — запеченной стороной вниз. Верхушку тоже промазать кремом. Лишний корж размолоть в блендере до состояния мелкой крошки. Обсыпать ею торт со всех сторон. Готовый торт можно украсить пудрой и медом, затем убрать в холодильник на ночь, а лучше на сутки: за это время он опустится примерно в полтора раза и пропитается кремом.",False
68,Оливье по-советски,10,417,16,30.0,21.0,Отварить картофель и морковь до готовности. Отдельно сварить яйца. Очистить картофель и морковь. Все нарезать мелкими кубиками. Все перемешать и заправить майонезом и сметаной.,False
69,Завтрак для ленивых,3,87,8,2.0,8.0,"В широкую миску выложить творог, добавить яйцо, сахар и муку и вилкой смешать до однородной консистенции. Если масса получилась слишком липкой, добавить еще муки, но не больше половины столовой ложки. Посыпать стол небольшим количеством муки и выложить творожную массу. Разделить на две равные части и из каждой скатать колбаски одинаковой толщины. Острым ножом нарезать колбаски на небольшие одинаковые кусочки. При желании можно слегка приплюснуть затем каждый кусочек и придать ему округлую форму. В небольшой кастрюле довести до кипения воду. Аккуратно один за другим опустить вареники в кипящую воду. Варить, слегка помешивая шумовкой, пока все вареники не всплывут на поверхность, плюс еще минуту. Готовые вареники выложить из кастрюли на тарелки и полить вареньем, например абрикосовым. Подавать их можно горячими или теплыми.",False
70,Шоколадные маффины с какао,4,476,10,21.0,64.0,"Взбить яйцо и добавить в него масло. Просеять муку, сахар, какао, разрыхлитель и соль. Добавить к яичной смеси. Влить молоко и хорошо вымесить до однородной консистенции. Выложить смесь в смазанные маслом формочки для маффинов и печь при 200 градусах 20–25 минут.",False
71,Кабачки с помидорами и чесноком,6,351,5,24.0,29.0,"Кабачки очистить от семечек и поролоновых внутренностей (если вы используете цукини, эту хирургическую операцию можно не проводить), нарезать крупными кусками (3–4 см). Лук мелко нарубить. А помидоры нарезать примерно вдвое меньшими кусочками по срав­нению с кабачками. Разогреть в глубоком сотейнике смесь растительного и оливкового масла и обжарить лук до мягкости. Всыпать в сотейник с луком кабачки и, помешивая, дождаться того момента, когда они пустят сок. Тогда добавить к ним в компанию помидоры, перемешать. Тушить на быстром огне минуты 2–3. Уменьшить огонь, всыпать в сотейник сахар, добавить душистый перец и лавровый лист. Тушить еще 3 минуты. Потом посолить. Перемешать, стараясь не превратить содержимое сотейника в кабачковую икру или кашу. Тушить еще 2 минуты. Тем временем мелко нарубить петрушку, очистить чеснок. Заправить рагу давленым чесноком и петрушкой, приправить молотым перцем, перемешать и сразу снять с огня. Подавать с холодной жирной сметаной. Лавровый лист и душистый перец, чтобы потом не попадали в тарелку, можно класть в рагу, запаковав в мешочек из марли.",False
72,Солянка,4,842,50,65.0,17.0,"Морковь крупно нарезать и вместе с половиной большой луковицы слегка поджарить на сковороде гриль. Выложить овощи в кастрюлю, добавить мясо и кость, залить 1,5 л воды и после закипания варить часа полтора, пока мясо не будет готово. Минут за пять до готов­ности бросить лавровый лист и перец горошком. Мясо вынуть и отложить, чтобы остыло. Если оно было на кости, то, когда остынет, срезать его. Бульон процедить. Оставший­ся репчатый лук нарезать — чем мельче, тем лучше. Консервированные помидоры пелати (то есть без кожицы и в собственном соку) выложить в подходящую посуду и превратить с помощью блендера в пюре. Можно использовать томатную пасту, но будет не так вкусно. Сливочное масло нарезать небольшими кусками и растопить в сотейнике на среднем ­огне. Всыпать лук и пассеровать до основательной золотистости. От лука зависит вкус солянки: если лук будет недожарен, то и в супе будет заметен вкус недожаренного лука. Главная задача — выпарить из него влагу и карамелизовать содержащийся в нем сахар. Выложить в сотейник томатное пюре, тщательно перемешать. Накрыть крышкой и потомить двадцать минут. Нарезать мелкими кубиками корнишоны (или просто соленые огурцы) и отварить их в небольшой кастрюле — в течение минут двадцати после закипания, так они не будут слишком жесткими. Нарезать мелкими кубиками ветчину, сосиски и вареное мясо. Вообще, в ход можно пустить все, что найдется колбасно-мяс­ного в холодильнике. Бульон довести до кипения, ­положить в него лук с томат­ным пюре. Когда все это снова закипит, добавить мясо, сосиски и ветчину, а также корнишоны и каперсы. Подержать на огне минут пять, довести до вкуса солью и сахаром. Если поми­доры будут очень сладкие, то можно обойтись без сахара. А вместо соли — использовать жидкость от каперсов или оливок. В тарелки положить очи­щен­ные от косточек маслины и олив­ки и дольки лимона. Разлить со­лянку, добавить по лож­ке сметаны и немного мелко на­резанной петрушки.",False
73,Луковый суп,4,730,29,28.0,83.0,"В большой толстостенной кастрюле растопить сливочное масло и отправить туда лук, нарезанный полукольцами. Обжаривать, помешивая, пока он не станет прозрачным. Сделать огонь потише и продолжать жарить лук, время от времени помешивая и следя, чтобы он не подгорал. Цель — добиться карамельного оттенка лука и не пережаренной, а мягкой, почти невесомой консистенции. Слегка обжарить на сухой сковородке муку. Как только мука начнет менять цвет и пахнуть жареным орехом, тут же ссыпать ее в кастрюлю с луком и тщательно в лук вмешать. Теперь остается вылить в кастрюлю сначала вино, смешанное с сахаром, дать луку минуту покипеть вместе с вином, а потом разбавить их компанию бульоном (приготовить самостоятельно) или водой — по желанию. Довести до кипения и варить на очень медленном огне пятнадцать-двадцать минут. Перемешать и добавить оставшуюся воду. Довести до кипения, снять накипь и варить на медленном огне пятнадцать минут. Разложить куски багета на противне и посыпать их тертым сыром. Поставить в духовку на три-четыре минуты, чтобы сыр расплавился и слегка подрумянился. Подавать суп в глубоких тарелках с плавающими и постепенно набухающими гренками.",False
74,Нут с баклажаном,2,622,14,44.0,46.0,"Нут замочить на ночь (или на 4–6 часов). После слить воду, отварить до готовности в свежей чуть подсоленной воде 60–90 минут. Аккуратно. Не переварите. Баклажаны нарезать на крупные кубики, обжарить на оливковом масле со всех сторон до румяной корочки, посолить и тушить до мягкости/готовности. Остудить. Кинзу, петрушку и чеснок измельчить, добавить паприку, зиру, оливковое масло, уксус и лимонный сок. Нут, баклажаны и заправку смешать, посолить. Дать настояться в холодильнике часа 2.",False
75,Курица в кисло-сладком соусе по-китайски,4,261,36,2.0,24.0,"Куриное филе нарезать тонкими полосками, сложить в миску, залить соевым соусом (примерно 6 столовых ложек) и немного поперчить. Для приготовления соуса в глубокой сковородке, лучше в воке, смешать уксус, соевый соус (примерно 4 столовые ложки), томатную пасту. Поставить на огонь и прогреть, добавив часть сахара. Добавить воды, положить нарезанный полосками перец, консервированный ананас и помидоры. Попробовать на вкус. Если соус слишком кислый, добавить остатки сахара. Тушить на медленном огне около 10 минут. Овощи должны оставаться слегка твердыми. Соус должен быть в меру густым. Обжарить курицу, соединить с соусом и потушить еще минут 10. Подавать с рисом.",False
76,Чечевичный суп с мятой,4,302,10,15.0,29.0,"В небольшую кастрюлю налить литр воды или заранее приготовленного бульона и засыпать промытую чечевицу. Замачивать ее не надо, потому что она довольно быстро разваривается. Поставить кастрюлю на средний огонь. Натереть небольшую морковь на крупной терке, мелко нарезать лук: потребуется небольшого размера луковица. Как только чечевица начнет кипеть, надо убавить огонь, аккуратно снять образовавшуюся пену с помощью ложки или шумовки, а затем долить еще 200 мл воды или бульона. Варить еще десять минут. Разогреть широкую плоскую сковороду, налить в нее подсолнечное масло и отправить к нему порезанное кубиками сливочное. Добавить лук, обжарить две-три минуты, пока он не станет золотистым, добавить морковь и жарить, постоянно помешивая, еще две-три минуты, пока овощи не размягчатся. Всыпать муку и продолжать жарить, помешивая, еще минуты полторы-две. Аккуратно переправить смесь со сковороды в кастрюлю и перемешать. Посолить и поперчить. Снять кастрюлю с плиты. Добавить сливки и осторожно взбить суп ручным блендером, чтобы он превратился в густое пюре. Разлить суп по тарелкам, повесить на края по дольке лимона и присоединить по веточке мяты или петрушки. Можно также добавить хлебные палочки. В конце украсить суп с помощью столовой ложки каплями сливок.",False
77,Печенье песочное,4,834,12,34.0,121.0,"В муку положить сахарный песок, соду, ванилин, все перемешать, добавить сметану, масло кусочками и замесить тесто. Скатать тесто в шар, обернуть пленкой и убрать в холодильник на 20–30 минут. На подпыленной мукой поверхности раскатать тесто толщиной около ½ см. На поверхности теста сделать наколы вилкой и вырезать фигурки. Выложить на противень. Некоторые фигурки можно украсить, например в центре кружка положить изюминку или ягодку из варенья. Фигурки смазать взбитым яйцом и поставить в духовой шкаф, разогретый до 170 градусов, на 10–12 минут.",False
78,Салат с креветками и кунжутом,2,501,35,34.0,15.0,"Порезать овощи крупно, салат порвать на куски. Для креветок: Довести до кипения сильно соленую воду с красным и черным перцем, оливковым маслом и половинкой лимона (сок предварительно выжать в воду). Добавить креветки. После кипения варить 5 минут. Очистить креветки от панциря. Смешать овощи и креветки. Посыпать кунжутными семечками и заправить майонезом.",False
